State,Confirmed,Recovered,Deaths,Active
Maharashtra,2179185,2043349,52280,82343
Kerala,1067045,1016515,4242,45992
Karnataka,952565,934143,12346,6057
Andhra Pradesh,890215,882219,7170,826
Tamil Nadu,852967,836473,12504,3990
Delhi,639681,627227,10911,1543
Uttar Pradesh,603711,592901,8728,2082
West Bengal,575712,562195,10272,3245
Odisha,337448,334767,1970,711
Rajasthan,320772,316515,2787,1470
Chhattisgarh,313299,306490,3849,2960
Telangana,299254,295707,1635,1912
Haryana,271365,266843,3052,1470
Gujarat,271245,264195,4412,2638
Bihar,262628,260737,1542,348
Madhya Pradesh,262433,255595,3865,2973
Assam,217585,214860,1093,285
Punjab,184310,172845,5872,5593
Jammu and Kashmir,126693,123860,1958,875
Jharkhand,120037,118449,1090,498
Uttarakhand,97134,93575,1692,463
Himachal Pradesh,58877,57386,983,495
Goa,55143,53737,796,610
Puducherry,39777,38940,669,168
Tripura,33417,32966,388,40
Manipur,29282,28887,373,22
Chandigarh,21906,21080,354,472
Arunachal Pradesh,16838,16780,56,2
Meghalaya,13966,13804,148,14
Nagaland,12205,11949,91,12
Ladakh,9819,9645,130,44
Sikkim,6147,5878,135,37
Andaman and Nicobar Islands,5020,4952,62,6
Mizoram,4427,4398,10,19
Dadra and Nagar Haveli and Daman and Diu,3390,3353,2,6
Lakshadweep,407,265,1,136
